Code,Description,ReferenceManufactures,productcode,ProductGUID,bodega_origen,bodega_destino,periodos_consignacion,periodos_sin_asignar,cantidad_disponible,cantidad_negativa,cantidad_a_trasladar,cantidad_pendiente,estado
PUE019,MAYA BASIC STUDS/EARRINGS/ARETES,FENOMENA,63312,971b9324-9b94-4e50-b0fa-3784078a533d,CONSIG01 - Inventario en consignación,Sin asignar,202506,202512,3.0,2.0,2.0,0.0,completo
RCAEDL10ML,ROLL ON CON ACEITE ESENCIAL DE LAVANDA 10 ML,LA LORENZA,27594,7c3761c8-73b8-4f35-9c83-8537a22b929d,CONSIG01 - Inventario en consignación,Sin asignar,202507,202512,3.0,1.0,1.0,0.0,completo
REF018R1,ENTERIZO LUPE ROJO 6 A 7 AÑOS,LA TUTU,139370,9d4a089d-0941-4103-abba-81f6e3a27db0,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,1.0,1.0,1.0,0.0,completo
REF025I6,GUAYABERA IVORY (CREMA) 6 A 12 MESES,LA TUTU,139385,e3fd91bd-c318-422a-b157-c55ecef90b05,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,1.0,1.0,1.0,0.0,completo
RKPLA007,Gafas de Sol Rocket Jupiter Lente Café,SAJU,76922,b8f2fd5f-55d0-48da-9367-3a7858a8104b,CONSIG01 - Inventario en consignación,Sin asignar,202502,202512,1.0,1.0,1.0,0.0,completo
RKPLA014,Gafas de Sol Rocket Midnight Green Lente Verde,SAJU,63879,063667f7-233e-49f0-a356-4126120a75f3,CONSIG01 - Inventario en consignación,Sin asignar,202502,202512,1.0,1.0,1.0,0.0,completo
RKPLA018P,GAFAS DE PANTALLA ROCKET DARK CHOCOLATE,SAJU,126853,5d4de03c-4596-4c4c-96f0-dbb76db991d7,CONSIG01 - Inventario en consignación,Sin asignar,202510,202512,1.0,1.0,1.0,0.0,completo
RL015,Refill agua de linos 1000 mL - Palma Real,HILALMA,77269,b8b740bc-2c2a-4115-8495-35913cd1da05,CONSIG01 - Inventario en consignación,Sin asignar,202507,202507,2.0,1.0,1.0,0.0,completo
RNN010,MAYA 3 STONE NECKALCE,FENOMENA,114826,7e72cf51-5dfb-40d8-9bf1-5d3ebf200f23,CONSIG01 - Inventario en consignación,Sin asignar,202510,202512,2.0,1.0,1.0,0.0,completo
RNN011,MAYA STONE NECKLACE,FENOMENA,79941,563f94b5-2cf5-47ff-af46-60f4de517f69,CONSIG01 - Inventario en consignación,Sin asignar,202505,202510,1.0,1.0,1.0,0.0,completo
RO011-T5,Anillo 4 Esmeraldas,FENOMENA,78051,0be565ef-2117-4a16-8cb5-40fc82ea8f3d,CONSIG01 - Inventario en consignación,Sin asignar,202504,202510,1.0,1.0,1.0,0.0,completo
RO011-T6,ANILLO 4 ESMERALDAS/RING/ANILLO,FENOMENA,63314,318b9004-f167-4221-b7ac-bc58551ee52b,CONSIG01 - Inventario en consignación,Sin asignar,202502,202504,1.0,1.0,1.0,0.0,completo
RO011-T7,ANILLO 4 ESMERALDAS/RING/ANILLO,FENOMENA,63315,385a567b-d47a-4a7e-ae65-724cfad6a63e,CONSIG01 - Inventario en consignación,Sin asignar,202504,202504,2.0,2.0,2.0,0.0,completo
ROW103T6,ANILLO DONA T6,FENOMENA,77462,4adbbcb8-0efd-4e11-8278-795dad1ade6c,CONSIG01 - Inventario en consignación,Sin asignar,202501,202510,1.0,1.0,1.0,0.0,completo
ROW103T7,ANILLO DONA T7,FENOMENA,77461,c5a40765-864d-49bd-ab4d-f1f5ff400592,CONSIG01 - Inventario en consignación,Sin asignar,202501,202510,1.0,1.0,1.0,0.0,completo
ROW106,5 STUD STONE/EARRINGS/ARETES,FENOMENA,63316,ba2df66a-2547-4ac7-97ec-819ce55c54d0,CONSIG01 - Inventario en consignación,Sin asignar,202512,202512,5.0,2.0,2.0,0.0,completo
S173M231,GAFAS DE SOL ECO-ACETATO MOSS CLEAR BLUE,SAJU,126857,c42ae527-6b86-42a4-83e0-f6c1f2296291,CONSIG01 - Inventario en consignación,Sin asignar,202510,202511,1.0,1.0,1.0,0.0,completo
S176M241,GAFAS DE SOL ECO-ACETATO BLOOM CLEAR OLIVE,SAJU,126856,a9a2c141-ebb5-4634-865e-9dd6a05f9e2a,CONSIG01 - Inventario en consignación,Sin asignar,202510,202511,1.0,1.0,1.0,0.0,completo
S252R1S,GAFAS DE SOL ECO-ACETATO ROCKET ECLIPSE,SAJU,126854,c6339419-c3bc-465b-a9a0-d982f13b511a,CONSIG01 - Inventario en consignación,Sin asignar,202510,202512,1.0,1.0,1.0,0.0,completo
SCLACHD,SERVILLETA CLÁSICA CRUDO HILO DORADO SET 4,ABITA,23431,b533dedd-3210-4cdd-a2f0-4b5aa2dcb34a,CONSIG01 - Inventario en consignación,Sin asignar,202505,202510,2.0,1.0,1.0,0.0,completo
SERBAQ,SET X 6 SERVILLETEROS CARNAVAL DE BARRANQUILLA,MESAS NATURALES,102697,6825388e-6886-42eb-9590-bbc52fe407c0,CONSIG01 - Inventario en consignación,Sin asignar,202510,202510,6.0,5.0,5.0,0.0,completo
SERENC,SERVILLETA ENCANTO BLANCA SET X4,ABITA,24508,23e4367e-7b76-43be-9a45-c913afc06fc5,CONSIG01 - Inventario en consignación,Sin asignar,202505,202510,1.0,1.0,1.0,0.0,completo
SEREVSX4,SERVILLETA ENCANTO VERDE SET X 4,ABITA,63421,680c7290-2db7-4f06-9815-1d8505124144,CONSIG01 - Inventario en consignación,Sin asignar,202506,202509,2.0,2.0,2.0,0.0,completo
SERFLOAM,SERVILLETERO FLORA AMARILLO SET X4,ABITA,24506,3fb7e209-c9ee-4e99-8384-beb1dd230ba7,CONSIG01 - Inventario en consignación,Sin asignar,202505,202512,6.0,5.0,5.0,0.0,completo
SERFLOBE,SERVILLETERO FLORA BEIGE SET X4,ABITA,23434,bcc66eec-07b5-4f06-845d-419d02a9e65c,CONSIG01 - Inventario en consignación,Sin asignar,202502,202510,1.0,1.0,1.0,0.0,completo
SETVACOX4,SET X4 VASOS BRUMA COBALTO,ZORRO Y JAGUAR,26272,e4b14039-7201-4c6e-b1c1-e4d71aab7827,CONSIG01 - Inventario en consignación,Sin asignar,202511,202602,2.0,2.0,2.0,0.0,completo
SETX4SHOTSBRUMANATURAL,SETX4 SHOTS BRUMA NATURAL,ZORRO Y JAGUAR,80946,67ba2d98-28a9-4049-b3d7-bba75eaaf339,CONSIG01 - Inventario en consignación,Sin asignar,202505,202602,3.0,3.0,3.0,0.0,completo
ServilletaClasicaCrudosetx4,Servilleta Clasica Crudo set x 4,ABITA,102774,93795054-d2b3-4af3-8ea8-10a841e072a7,CONSIG01 - Inventario en consignación,Sin asignar,202506,202512,2.0,1.0,1.0,0.0,completo
ServilletaEncantoCrudo,Servilleta Encanto Crudo set x 4,ABITA,80715,f2ab8cac-f6ae-4012-8fd1-1627704137e9,CONSIG01 - Inventario en consignación,Sin asignar,202505,202510,2.0,2.0,2.0,0.0,completo
TABLAAMBROSIACIRCULAR,TABLA AMBROSIA CIRCULAR,KALA Y GRECO,114708,06ed4e2a-122d-4e24-b2b6-5728d4ac126d,CONSIG01 - Inventario en consignación,Sin asignar,202508,202508,1.0,1.0,1.0,0.0,completo
TAP244*35CM,Tapete 244 x 305 cm Sisal,FALABELA,76720,efff07a9-aadb-4c10-92a3-95efbacabc3f,CONSIG01 - Inventario en consignación,Sin asignar,202501,202504,1.0,1.0,1.0,0.0,completo
TAPCRO,BARI TAPETE REDONDO 1.80,ARBIF,114292,f483bf2c-5dd5-4a2b-944c-f23fdfc02caf,CONSIG01 - Inventario en consignación,Sin asignar,202507,202508,1.0,1.0,1.0,0.0,completo
